AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,CQ_AF3,CQ_F7,CQ_F3,CQ_FC5,CQ_T7,CQ_P7,CQ_O1,CQ_O2,CQ_P8,CQ_T8,CQ_FC6,CQ_F4,CQ_F8,CQ_AF4,Marker,MarkerH
 4234.8715820312500000000000000, 4213.3330078125000000000000000, 4702.0512695312500000000000000, 4576.9228515625000000000000000, 4906.1538085937500000000000000, 4425.6411132812500000000000000, 4294.8715820312500000000000000, 4460.0000000000000000000000000, 4583.5898437500000000000000000, 4386.1538085937500000000000000, 5004.6152343750000000000000000, 4252.8203125000000000000000000, 4660.0000000000000000000000000, 5429.2304687500000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 20.0000000000000000000000000, 6.0000000000000000000000000
 4236.4101562500000000000000000, 4210.2563476562500000000000000, 4716.4101562500000000000000000, 4571.7949218750000000000000000, 4876.9228515625000000000000000, 4421.0253906250000000000000000, 4300.0000000000000000000000000, 4478.9741210937500000000000000, 4636.4101562500000000000000000, 4312.8203125000000000000000000, 5009.2304687500000000000000000, 4409.7436523437500000000000000, 4747.6923828125000000000000000, 5439.4868164062500000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 0.0000000000000000000000000, 0.0000000000000000000000000
 4227.6923828125000000000000000, 4186.6665039062500000000000000, 4703.5898437500000000000000000, 4557.9487304687500000000000000, 4882.5639648437500000000000000, 4413.3330078125000000000000000, 4297.9487304687500000000000000, 4450.7690429687500000000000000, 4614.8715820312500000000000000, 4224.6152343750000000000000000, 5011.2817382812500000000000000, 4504.1025390625000000000000000, 4818.9741210937500000000000000, 5410.2563476562500000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 0.0000000000000000000000000, 0.0000000000000000000000000
 4227.6923828125000000000000000, 4173.3330078125000000000000000, 4707.6923828125000000000000000, 4547.6923828125000000000000000, 4902.5639648437500000000000000, 4405.6411132812500000000000000, 4292.3076171875000000000000000, 4414.3588867187500000000000000, 4601.5385742187500000000000000, 4276.9228515625000000000000000, 5021.0253906250000000000000000, 4502.5639648437500000000000000, 4923.0766601562500000000000000, 5406.6665039062500000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 0.0000000000000000000000000, 0.0000000000000000000000000
 4231.2817382812500000000000000, 4168.2050781250000000000000000, 4706.1538085937500000000000000, 4547.1791992187500000000000000, 4875.8974609375000000000000000, 4398.4614257812500000000000000, 4295.8974609375000000000000000, 4420.0000000000000000000000000, 4625.1279296875000000000000000, 4298.4614257812500000000000000, 4992.8203125000000000000000000, 4478.4614257812500000000000000, 5026.1538085937500000000000000, 5414.3588867187500000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 0.0000000000000000000000000, 0.0000000000000000000000000
 4225.1279296875000000000000000, 4156.4101562500000000000000000, 4688.2050781250000000000000000, 4532.8203125000000000000000000, 4840.0000000000000000000000000, 4395.3842773437500000000000000, 4294.8715820312500000000000000, 4413.8461914062500000000000000, 4578.9741210937500000000000000, 4150.7690429687500000000000000, 4935.8974609375000000000000000, 4482.0512695312500000000000000, 5071.2817382812500000000000000, 5381.0253906250000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 0.0000000000000000000000000, 0.0000000000000000000000000
 4223.0766601562500000000000000, 4150.2563476562500000000000000, 4734.3588867187500000000000000, 4520.0000000000000000000000000, 4860.0000000000000000000000000, 4397.4355468750000000000000000, 4286.1538085937500000000000000, 4389.7436523437500000000000000, 4548.7177734375000000000000000, 4137.9487304687500000000000000, 4908.2050781250000000000000000, 4537.4355468750000000000000000, 5147.1791992187500000000000000, 5353.8461914062500000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 0.0000000000000000000000000, 0.0000000000000000000000000
 4228.2050781250000000000000000, 4151.7949218750000000000000000, 4812.3076171875000000000000000, 4526.1538085937500000000000000, 4870.2563476562500000000000000, 4398.4614257812500000000000000, 4295.8974609375000000000000000, 4408.7177734375000000000000000, 4622.0512695312500000000000000, 4307.6923828125000000000000000, 4923.5898437500000000000000000, 4643.5898437500000000000000000, 5302.5639648437500000000000000, 5371.7949218750000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 0.0000000000000000000000000, 0.0000000000000000000000000
 4227.1791992187500000000000000, 4147.6923828125000000000000000, 4807.1791992187500000000000000, 4516.4101562500000000000000000, 4844.1025390625000000000000000, 4398.9741210937500000000000000, 4308.2050781250000000000000000, 4434.3588867187500000000000000, 4645.6411132812500000000000000, 4244.6152343750000000000000000, 4900.0000000000000000000000000, 4800.5126953125000000000000000, 5375.8974609375000000000000000, 5355.8974609375000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 0.0000000000000000000000000, 0.0000000000000000000000000
 4228.7177734375000000000000000, 4162.0512695312500000000000000, 4784.1025390625000000000000000, 4522.0512695312500000000000000, 4827.6923828125000000000000000, 4401.0253906250000000000000000, 4306.1538085937500000000000000, 4428.7177734375000000000000000, 4618.9741210937500000000000000, 4070.7690429687500000000000000, 4875.8974609375000000000000000, 4992.8203125000000000000000000, 5402.0512695312500000000000000, 5343.0766601562500000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 4.0000000000000000000000000, 0.0000000000000000000000000, 0.0000000000000000000000000
